Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Yes ,No,,,Research & Development,1.0,2.0,Medical,,1994.0,,,59.0,2.0,1.0,Laboratory Technician,3.0,Divorced,2008.0,20439.0,1.0,Y,No,12.0,3.0,3.0,80.0,,1.0,2.0,,1.0,1.0,0.0,0.0
30.0,,Travel_Rarely,330.0,Human Resources,1.0,3.0,Life Sciences,,1499.0,3.0,Male,,3.0,,Human Resources,,,2064.0,15428.0,0.0,Y,No,21.0,4.0,,80.0,1.0,6.0,3.0,4.0,5.0,3.0,1.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,Yes,Travel_Rarely,59920.0,Sales,1160.0,4.0,Life Sciences,,27.0,3.0,,,2.0,1.0,Sales Representative,1.0,Single,3407.0,6986.0,7.0,Y,No,23.0,4.0,2.0,80.0,0.0,10.0,4.0,,5.0,3.0,0.0,3.0
44.0,No,Travel_Rarely,1037.0,Research & Development,1.0,,Medical,1.0,2020.0,,Male,42.0,,1.0,,4.0,Single,2436.0,13422.0,,Y,Yes,12.0,3.0,3.0,,,6.0,2.0,3.0,4.0,3.0,1.0,
yes,No,Travel_Rarely,1355.0,Human Resources,25.0,,,1.0,,3.0,Female,61.0,3.0,,Human Resources,3.0,Married,2942.0,8916.0,1.0,Y,,,4.0,4.0,80.0,1.0,8.0,3.0,,,7.0,5.0,
27.0,,Travel_Frequently,472.0,Research & Development,1.0,1.0,Technical Degree,1.0,274.0,3.0,Male,,2.0,2.0,Manufacturing Director,1.0,Married,,9679.0,5.0,Y,No,19.0,3.0,3.0,80.0,,6.0,1.0,3.0,2.0,,2.0,0.0
50.0,No,Travel_Rarely,854.0,Sales,1.0,4.0,Medical,,,,Female,,3.0,5.0,Manager,4.0,Divorced,19517.0,,3.0,Y,No,11.0,3.0,3.0,80.0,1.0,32.0,3.0,2.0,7.0,0.0,0.0,6.0
45.0,,Non-Travel,248.0,,23.0,2.0,,,1002.0,4.0,Male,,3.0,2.0,Laboratory Technician,1.0,Married,3633.0,14039.0,1.0,Y,Yes,15.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,9.0,8.0,0.0,8.0
29.0,,,,Research & Development,,,Life Sciences,1.0,824.0,3.0,,81.0,4.0,1.0,Research Scientist,3.0,Married,2700.0,23779.0,1.0,Y,No,24.0,4.0,3.0,80.0,1.0,10.0,3.0,,10.0,,,7.0
34.0,,Travel_Frequently,1003.0,Research & Development,2.0,2.0,,1.0,,4.0,Male,95.0,3.0,2.0,Manufacturing Director,3.0,Single,4033.0,,2.0,Y,No,11.0,3.0,4.0,80.0,,5.0,3.0,,3.0,2.0,0.0,
Yes ,No,Travel_Rarely,,,5.0,,Medical,1.0,,2.0,Male,90.0,4.0,1.0,Research Scientist,3.0,Married,2127.0,5561.0,,Y,Yes,12.0,3.0,1.0,80.0,0.0,,5.0,2.0,4.0,,0.0,3.0
yes,Yes,,1368.0USD,Research & Development,nanUSD,,Technical Degree,,593.0,3.0,Male,99.0,2.0,1.0,,,Single,3894.0,,5.0,Y,No,16.0,,3.0,80.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0
30.0,Yes,,464.0,Research & Development,4.0,3.0,Technical Degree,,514.0,3.0,,40.0,3.0,1.0,Research Scientist,4.0,Single,2285.0,3427.0,9.0,,Yes,,4.0,3.0,,0.0,3.0,4.0,3.0,,,0.0,0.0
yes,No,Travel_Frequently,,Research & Development,22.0,5.0,Medical,,1539.0,3.0,Male,88.0,1.0,4.0,Research Director,4.0,Single,14411.0,,1.0,,Yes,13.0,3.0,4.0,80.0,0.0,,2.0,3.0,,,13.0,9.0
48.0,,,969.0,Research & Development,2.0,2.0,Technical Degree,1.0,1258.0,4.0,,76.0,4.0,1.0,Laboratory Technician,,Single,2559.0,,5.0,Y,No,11.0,3.0,,80.0,,7.0,4.0,2.0,1.0,0.0,0.0,0.0
