ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10263.0$,34.0$,58.75$,6.0,1997.5,6/28/2004 0:00,Shipped,2.0,6.0,2004.0,Motorcycles,60.0,S18_2625,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,usa,,King,Julie,Small
10310.0,49.0,81.4,11.0,3988.6,10/16/2004 0:00,Shipped,4.0,10.0,2004.0,Classic Cars,79.0,S12_3990,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium
10109.0,46.0,100.0,5.0,8257.0,3/10/2003 0:00,Shipped,1.0,3.0,2003.0,Classic Cars,169.0,S18_3232,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,usa,,Hernandez,Rosa,Large
10292.0,35.0,55.07,1.0,1927.45,9/8/2004 0:00,Shipped,3.0,9.0,2004.0,Trains,58.0,S50_1514,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,???,NY,10022,USA,,Yu,Kwai,Small
10104.0,44.0,39.6,10.0,1742.4,1/31/2003 0:00,Shipped,1.0,1.0,2003.0,Classic Cars,35.0,S24_2840,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,???,,28034,Spain,EMEA,Freyre,Diego,Small
10229.0,33.0,32.88,2.0,1085.04,3/11/2004 0:00,Shipped,1.0,3.0,2004.0,Classic Cars,35.0,S24_2840,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Small
10121.0,44.0,74.85,1.0,3293.4,5/7/2003 0:00,Shipped,2.0,5.0,2003.0,Motorcycles,81.0,S50_4713,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Medium
10288.0,31.0,100.0,2.0,3822.92,9/1/2004 0:00,Shipped,3.0,9.0,2004.0,Vintage Cars,127.0,S18_2325,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Usa ,APAC,Victorino,Wendy,Medium
10105.0,41.0,82.5,10.0,3382.5,2/11/2003 0:00,Shipped,1.0,2.0,2003.0,Vintage Cars,87.0,S18_4522,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium
10196.0,24.0,100.0,6.0,3807.12,11/26/2003 0:00,Shipped,4.0,11.0,2003.0,Classic Cars,151.0,S12_3148,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium
10111.0,39.0,100.0,4.0,4178.85,3/25/2003 0:00,Shipped,1.0,3.0,2003.0,Vintage Cars,99.0,S18_3320,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium
